"Stockist ID",Name,"Address line 1","Address line 2",City,State/Province,"Postal code",Country,Phone,Website,Email,"Logo URL",Notes,Priority,Visible
loc_qzgjx5xy,"The Beach Club","755 N County Rd",,"Palm Beach",FL,33480,"United States","(561) 863-5500",https://www.thebeachclub.net/,,https://www.thebeachclub.net/getmedia/33bd9d2c-1e1a-4bcb-a413-69b7dc5a8009/beach-club-logo-horizontal.aspx?width=1000&height=369&ext=.png,,,Yes
loc_69yyvp65,"7th Heaven Market ","145 Rte 206 S",,Gladstone,"New Jersey",07934,"Unites States",,,,,,,Yes
loc_zzmmx98w,"7th HEAVEN MARKET (Chester)","395 Rte 24 ",,Chester,"New Jersey",07930,"United States",,,,,,,Yes
loc_57qq9xen,"Extra Supermarket (Dover)",,,Dover,NJ,07801,,,,,,,,Yes
loc_g255qj97,"Fairfield Hot Bagel","397 Rte 46 E",,Fairfield,NJ,07004,,,,,,,,Yes
loc_rk55v9nq,"Bravo #43253 ","321 Scotland Rd",,Orange,"New Jersey",07050,"Unites States",,,,,,,Yes
loc_zzmmxgnw,"EXTRA SUPERMARKET-563 Central (E Orange)","563 Central Ave",,"East Orange",NJ,07018,,,,,,,,Yes
loc_xpmm8e26,"EXTRA SUPERMARKET-327 Lyons","327 Lyons Ave",,Newark,NJ,07112,,,,,,,,Yes
loc_jy66kmwe,"Exxon-264 Bloomfield Ave","264 Bloomfield Ave",,Montclair,NJ,07042,,,,,,,,Yes
loc_k6558xzq,"EXTRA SUPERMARKET-80 Central (E Orange)","80 Central Ave",,"East Orange",NJ,07018,,,,,,,,Yes
loc_m7556k8v,"EXTRA SUPERMARKET-125 Avon","125 Avon Ave",,Newark,NJ,07108,,,,,,,,Yes
loc_9522p8my,"LUKOIL (Woodland Pk)","185 Squirrelwood Rd",,"Woodland Park",NJ,07424,,,,,,,,Yes
loc_7gppqk6q,"FOOD DEPOT (Newark)","75 First St",,Newark,NJ,07107,,,,,,,,Yes
loc_n955k6z5,"QUICK & FRESH (Hawthorne)","716 Goffle Rd",,Hawthorne,NJ,07506,,,,,,,,Yes
loc_8ywwq856,"FOOD DEPOT (Kearny)","23 Kearney Ave",,Kearny,NJ,07032,,,,,,,,Yes
loc_rk55vqgq,"FOOD DEPOT (Belleville)","325 Washington Ave",,Belleville,NJ,07109,,,,,,,,Yes
loc_7gppqw9q,"QUICK & FRESH (E Rutherford)","185 NJ-17",,"East Rutherford","New Jersey",07073,"Unites States",,,,,,,Yes
loc_2m77w9k9,SHELL,"1000 Communipaw Ave",,"Jersey City","New Jersey",07304,"Unites States",,,,,,,Yes
loc_69yyvze5,"Exxon Tiger Mart-792 Rte 17 N","792 Rte 17 N",,Paramus,NJ,07652,,,,,,,,Yes
loc_jy66k9je,SHELL,"133 Rte 17 S",,"Hasbrouck Heights","New Jersey",07604,"Unites States",,,,,,,Yes
loc_69qkvv65,"On The Run","100 NJ-17 N Paramus",,Paramus,"New Jersey",07652,"United States",,,,,,,Yes
loc_9522pjqy,"QUICK & FRESH (Paramus)","100 Rte 17 N",,Paramus,"New Jersey",07652,"Unites States",,,,,,,Yes
loc_zzejxqvw,"Krauszer's Food - Deli & Liquor","40 Meadowlands Pkwy",,Secaucus,"New Jersey",07094,"United States",,,,,,,Yes
loc_8ywwqn96,"KRAUSZER'S (Secaucus)","40 Meadowland Pkwy",,Secaucus,"New Jersey",07094,"Unites States",,,,,,,Yes
loc_57qq9ykn,"7-Eleven #34338 (Jersey City)","33 Journal Square Plaza",,"Jersey City","New Jersey",07306,"Unites States",,,,,,,Yes
loc_wyrrm2nx,"7-Eleven #34338 (Jersey City)","33 Journal Square Plaza",,"Jersey City",NJ,07306,,,,,,,,Yes
loc_n955kpr5,EXXON,"450 Rte 3W",,Secaucus,"New Jersey",07094,"Unites States",,,,,,,Yes
loc_vmkkrp6m,"SHELL-300 RTE 3E","300 Rte 3 E",,Secaucus,"New Jersey",07094,"Unites States",,,,,,,Yes
loc_exgg926v,Sampone,"101 Marshall Ave",,Hoboken,NJ,07030,,,,,,,,Yes
loc_2m77wgr9,"Prime Gourmet","720 Monroe St",,Hoboken,NJ,07030,,,,,,,,Yes
loc_pq55xn6k,"7-Eleven #34180 (Englewood)","11 Tenafly Rd",,Englewood,"New Jersey",07631,"Unites States",,,,,,,Yes
loc_qz22978y,"7-Eleven # (Cresskill)","35 Madison Ave",,Cresskill,"New Jersey",07626,"Unites States",,,,,,,Yes
loc_7gpy95yq,"East Hampton IGA","92 North Main Street East Hampton",,"New York","New York",11937,"United States",6313240529,,,,,,Yes
loc_8ywpv5j6,"Amagansett IGA","511 Montauk Highway Amagansett",,"New York","New York",11930,"United States",6312673556,,,,,,Yes
loc_rk5r6geq,"Montauk IGA ","654 Montauk Highway Montauk",,"New York","New York",11954,"United States","631 6684929",,,,,,Yes
